"country_name","p_year","country","origin","share","country_id"
"Austria",2005,"AT","Arabic",0.00163637086288368,10
"Austria",1991,"AT","Turkey",0.00545795728664092,10
"Austria",1992,"AT","Slavic-Russian",0.00727207277577387,10
"Austria",2005,"AT","Persian",0.00218170183661694,10
"Austria",1993,"AT","India",0.00237838462420507,10
"Austria",2005,"AT","SouthEastAsia",0.00150057767027144,10
"Austria",2005,"AT","Turkey",0.00369520549559313,10
"Austria",1993,"AT","SouthEastAsia",0.00178801126617614,10
"Austria",1995,"AT","Arabic",0.000386530144765248,10
"Austria",2008,"AT","Arabic",0.00314428987979505,10
"Austria",2008,"AT","China",0.0017898067662744,10
"Austria",1995,"AT","Slavic-Russian",0.0050160758054482,10
"Austria",2008,"AT","Persian",0.00481856806885503,10
"Austria",1996,"AT","India",0.000718749220883884,10
"Austria",1996,"AT","Persian",0.00364762509063102,10
"Austria",2008,"AT","Turkey",0.00585961886136703,10
"Austria",1985,"AT","Arabic",0.00360657829275214,10
"Austria",1998,"AT","Arabic",0.00420520530255775,10
"Austria",2011,"AT","Arabic",0.00514347269155504,10
"Austria",2011,"AT","China",0.0036438458064312,10
"Austria",2011,"AT","India",0.00751599764525568,10
"Austria",2011,"AT","Persian",0.00242632796136284,10
"Austria",2011,"AT","Slavic-Russian",0.0100999044168672,10
"Austria",2011,"AT","SouthEastAsia",0.00275706232495745,10
"Austria",2011,"AT","Turkey",0.00255344331549644,10
"Austria",1999,"AT","SouthEastAsia",0.00238666708825744,10
"Austria",1988,"AT","Arabic",0.00324799662578217,10
"Austria",2001,"AT","Arabic",0.000548872931294923,10
"Austria",2014,"AT","Arabic",0.00274383205972844,10
"Austria",2000,"AT","Turkey",0.0030713581573621,10
"Austria",2014,"AT","India",0.00861393995816885,10
"Austria",2014,"AT","Persian",0.00316963447208969,10
"Austria",2002,"AT","India",0.00325562967102642,10
"Austria",2014,"AT","SouthEastAsia",0.00265765837336821,10
"Austria",2014,"AT","Turkey",0.0100985796092991,10
"Austria",2002,"AT","SouthEastAsia",0.00360316522468233,10
"Austria",1991,"AT","Arabic",0.00332453161526319,10
"Austria",2004,"AT","Arabic",0.00231770439978457,10
"Austria",2004,"AT","China",0.00129066075833303,10
"Austria",2004,"AT","India",0.00641023113055827,10
"Austria",2004,"AT","Persian",0.00715095952991516,10
"Austria",2005,"AT","China",0.00163196419978749,10
"Austria",2005,"AT","India",0.00553958830005326,10
"Austria",2004,"AT","Turkey",0.00408212168870149,10
"Austria",2005,"AT","Slavic-Russian",0.00813149859834955,10
"Austria",1994,"AT","Arabic",0.00412887957781896,10
"Austria",2007,"AT","Arabic",0.00187899797090932,10
"Austria",2007,"AT","China",0.00285832071984863,10
"Austria",2007,"AT","India",0.00549331202036659,10
"Austria",2007,"AT","Persian",0.00287692254159248,10
"Austria",2007,"AT","Slavic-Russian",0.00499727302993041,10
"Austria",2008,"AT","India",0.00196501310764241,10
"Austria",2007,"AT","Turkey",0.00596078823843777,10
"Austria",2008,"AT","Slavic-Russian",0.00825751217230594,10
"Austria",2008,"AT","SouthEastAsia",0.00176187819782361,10
"Austria",1997,"AT","Arabic",0.00142520898103339,10
"Austria",2010,"AT","Arabic",0.00207248506948353,10
"Austria",2010,"AT","China",0.00105460396754262,10
"Austria",2010,"AT","India",0.00429553927203159,10
"Austria",2010,"AT","Persian",0.00454953175069264,10
"Austria",2010,"AT","Slavic-Russian",0.0116629952124817,10
"Austria",2010,"AT","SouthEastAsia",0.00364027824306952,10
"Austria",2010,"AT","Turkey",0.00556718086165197,10
"Austria",1987,"AT","Arabic",0.00377006737388395,10
"Austria",2000,"AT","Arabic",0.00462329362421063,10
"Austria",2013,"AT","Arabic",0.00303499938601368,10
"Austria",2013,"AT","China",0.00476315427230029,10
"Austria",2013,"AT","India",0.0039691465247103,10
"Austria",2013,"AT","Persian",0.00790498881954737,10
"Austria",2014,"AT","China",0.00302099738805424,10
"Austria",2013,"AT","SouthEastAsia",0.00331715046362602,10
"Austria",2013,"AT","Turkey",0.00494103744845063,10
"Austria",2014,"AT","Slavic-Russian",0.0139882024874812,10
"Austria",1990,"AT","Arabic",0.00238503437516148,10
"Austria",2003,"AT","Arabic",0.00531648426840664,10
"Austria",2003,"AT","China",0.00538733959218933,10
"Austria",2003,"AT","India",0.00360818485858362,10
"Austria",2003,"AT","Persian",0.00748158820457781,10
"Austria",2003,"AT","Slavic-Russian",0.00672163545402022,10
"Austria",2003,"AT","SouthEastAsia",0.00362632394773194,10
"Austria",2003,"AT","Turkey",0.00586644150843158,10
"Austria",2004,"AT","Slavic-Russian",0.00825602266758852,10
"Austria",2004,"AT","SouthEastAsia",0.0041496895904156,10
"Austria",1993,"AT","Arabic",0.00326439242725001,10
"Austria",2006,"AT","Arabic",0.00393796740470977,10
"Austria",2006,"AT","China",0.0023679308714444,10
"Austria",2006,"AT","India",0.00443109647049205,10
"Austria",2006,"AT","Persian",0.0032289142255404,10
"Austria",2006,"AT","Slavic-Russian",0.00725594492626135,10
"Austria",2006,"AT","SouthEastAsia",0.00405758472332916,10
"Austria",2006,"AT","Turkey",0.00415757016408122,10
"Austria",2007,"AT","SouthEastAsia",0.00356361626335012,10
"Austria",1996,"AT","Arabic",0.00188567295433993,10
